,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,nm_pol,murder,rape,gangrape,robbery,theft,assualt murders,sexual harassement,totarea,totalcrime,long,lat,crime/area,area,crime_severity,crime_density,crime_risk_score
0,0,0,0,0,0,0,0,0,0,0,CHITRANJAN PARK,2,6,1,35,442,19,7,2659329.537,512,77.2492,28.53632,192.5297308,2.659329537,25.82,0.00019252973084997552,23.886118638004767
1,1,1,1,1,1,1,1,1,1,1,DABRI,8,28,0,79,240,26,16,3401013.428,397,77.086,28.61268,116.7299125,3.401013428,27.689999999999998,0.00011672991254064523,14.26233388102925
2,2,2,2,2,2,2,2,2,2,2,MALVIYA NAGAR,3,28,1,33,694,63,15,1379853.572,837,77.20418,28.52989,606.5861022,1.379853572,49.6,0.0006065861023114415,76.45602559923236
3,3,3,3,3,3,3,3,3,3,3,CHANDNI MAHAL,1,8,1,23,529,19,7,5570696.132,588,77.23608,28.64361,105.5523378,5.570696132,28.86,0.0001055523378168709,12.843193629167015
4,4,4,4,4,4,4,4,4,4,4,MODEL TOWN,0,4,1,45,393,9,14,2689157.085,466,77.19369,28.70257,173.2885009,2.689157085,22.82,0.00017328850092072624,21.44319120851016
5,5,5,5,5,5,5,5,5,5,5,ANANDVIHAR,10,14,0,99,457,24,15,4558969.692,619,77.29373,28.65335,135.776292,4.558969692,34.71,0.0001357762919736471,16.680522475029257
6,6,6,6,6,6,6,6,6,6,6,KASHMERE GATE,0,9,3,17,340,17,12,1627909.974,398,77.22618,28.66645,244.4852641,1.627909974,21.759999999999998,0.00024448526414643125,30.48255752837897
7,7,7,7,7,7,7,7,7,7,7,GOVIND PURI,1,4,3,31,692,5,5,8992712.06,741,77.26532,28.53067,82.40005852,8.99271206,32.44,8.240005852027692e-05,9.903706997754144
8,8,8,8,8,8,8,8,8,8,8,BINDAPUR,4,4,1,64,417,11,8,2568079.5,509,77.06618,28.6091,198.2025868,2.5680795,24.95,0.00019820258679686514,24.606362377473918
9,9,9,9,9,9,9,9,9,9,9,NEW FRIENDS COLONY,6,7,1,47,609,14,10,4045386.71,694,77.2676,28.56234,171.5534385,4.04538671,33.61000000000001,0.00017155343845978076,21.222902188872865
10,10,10,10,10,10,10,10,10,10,10,SARITA VIHAR,1,12,0,12,211,8,1,7942774.025,245,77.30617,28.52299,30.84564653,7.942774025,13.08,3.084564652460952e-05,3.3581957368430047
11,11,11,11,11,11,11,11,11,11,11,TIMARPUR,8,17,1,60,626,23,5,6149745.104,740,77.2242,28.7072,120.3301905,6.149745104,38.04999999999999,0.00012033019051776295,14.719436563989047
12,12,12,12,12,12,12,12,12,12,12,KANJHAWALA,1,5,2,15,307,21,10,35490190.9,361,77.00361,28.72582,10.17182469,35.4901909,20.080000000000005,1.0171824688607127e-05,0.7333819062634506
13,13,13,13,13,13,13,13,13,13,13,ANAND PARBAT,5,20,1,77,374,35,9,1948430.286,521,77.17376,28.66004,267.394735,1.948430286,31.680000000000003,0.0002673947350046477,33.3912164322294
14,14,14,14,14,14,14,14,14,14,14,SAGARPUR,2,7,0,11,180,4,4,1283551.172,208,77.08644,28.59139,162.0504149,1.283551172,10.81,0.00016205041492494543,20.016368254101273
15,15,15,15,15,15,15,15,15,15,15,PRASHANT VIHAR,7,8,0,41,457,39,14,2076678.927,566,77.12757,28.71793,272.5505578,2.076678927,32.82,0.0002725505578359442,34.04581601149238
16,16,16,16,16,16,16,16,16,16,16,SOUTH CAMPUS,10,11,1,38,248,8,9,4518856.098,325,77.179,28.57051,71.92085629,4.518856098,18.94,7.192085628569621e-05,8.573234326713349
17,17,17,17,17,17,17,17,17,17,17,ROHINI SOUTH,6,14,0,96,560,24,5,2649542.395,705,77.1159,28.70236,266.0836835,2.649542395,36.28,0.00026608368348074685,33.2247611826952
18,18,18,18,18,18,18,18,18,18,18,DWARKA NORTH,3,2,0,10,104,10,13,30068547.98,142,77.01564,28.60369,4.722542641,30.06854798,9.6,4.722542641382313e-06,0.04152381646526846
19,19,19,19,19,19,19,19,19,19,19,BURARI,3,12,0,56,562,21,17,11333876.3,671,77.19735,28.73664,59.203046,11.3338763,34.75,5.9203046004657734e-05,6.958540895321589
20,20,20,20,20,20,20,20,20,20,20,JAMA MASJID,4,19,0,13,317,10,1,3817050.224,364,77.23362,28.65284,95.36159563,3.817050224,19.61,9.536159564035121e-05,11.549344759761668
21,21,21,21,21,21,21,21,21,21,21,ADRASH NAGAR,3,15,0,41,354,18,3,1646190.527,434,77.17532,28.70984,263.6389852,1.646190527,23.41,0.0002636389852096385,32.91437455536999
22,22,22,22,22,22,22,22,22,22,22,CHANAKYAPURI,1,7,2,40,649,20,4,10993452.52,723,77.19606,28.60337,65.76641857,10.99345252,34.22,6.576641857366207e-05,7.79184744265615
23,23,23,23,23,23,23,23,23,23,23,PANDAV NAGAR,5,16,3,27,351,23,10,1470612.978,435,77.30265,28.62038,295.7950231,1.470612978,25.780000000000005,0.00029579502323690227,36.997006882384596
24,24,24,24,24,24,24,24,24,24,24,MIANWALI NAGAR,1,12,1,46,400,27,8,1729847.853,495,77.08879,28.67965,286.1523337,1.729847853,27.25,0.00028615233365266373,35.77274050408883
25,25,25,25,25,25,25,25,25,25,25,FATEHPUR BERI,7,10,0,60,683,7,9,35895594.95,776,77.15114,28.46549,21.61825152,35.89559495,36.29,2.1618251517516635e-05,2.1866564720197044
26,26,26,26,26,26,26,26,26,26,26,NABI KARIM,4,4,0,29,612,6,5,1799866.446,660,77.21754,28.64981,366.6938741,1.799866446,29.39,0.0003666938741298142,45.99854930991175
27,27,27,27,27,27,27,27,27,27,27,RAJOURI GARDEN,1,7,0,37,567,20,4,1731624.057,636,77.11992,28.63969,367.2852645,1.731624057,30.43,0.0003672852646213843,46.07363411783262
28,28,28,28,28,28,28,28,28,28,28,JAHANGIR PURI,1,23,1,17,441,36,6,2463668.046,525,77.17487,28.73358,213.0968906,2.463668046,30.81,0.00021309689057029722,26.497390308907292
29,29,29,29,29,29,29,29,29,29,29,KAMLA MARKET,4,11,0,5,107,7,5,3095888.323,139,77.22621,28.64295,44.89826037,3.095888323,9.440000000000001,4.489826036919356e-05,5.142360051871769
30,30,30,30,30,30,30,30,30,30,30,BARAKHAMBA ROAD,9,14,1,125,808,16,38,3748441.999,1011,77.22498,28.63089,269.7120565,3.748441999,52.19,0.0002697120564409726,33.68543089360062
31,31,31,31,31,31,31,31,31,31,31,SAFDARJUNG ENCLAVE,2,7,0,1,83,3,10,2366255.942,106,77.20489,28.56934,44.79650663,2.366255942,7.200000000000001,4.479650663250189e-05,5.129441075520898
32,32,32,32,32,32,32,32,32,32,32,MUKHERJI NAGAR,1,8,0,54,789,14,7,6149745.104,873,77.20856,28.70024,141.9571031,6.149745104,39.68,0.00014195710313784737,17.46525781601691
